Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	57680	64453	59999	64397	51518	
"Turkey"	50813	56926	54539	49634	34409	
"Belgium"	990	388	462	727	3329	
"New Zealand"	535	860	1091	4612	2244	
"Ireland"	414	1233	580	2399	2001	
"Jordan"	136	255	191	395	1970	
"Germany"	661	882	713	1316	1881	
"Spain"	0	0	0	50	1016	
"Switzerland"	0	0	296	1017	755	
"United Arab Emirates"	440	791	369	477	711	
"Poland"	706	560	315	159	589	
"Netherlands"	537	185	0	266	557	
"Syrian Arab Republic"	0	0	9	57	457	
"Hungary"	240	94	0	0	366	
"Canada"	0	0	0	621	226	
"Denmark"	54	129	0	0	142	
"Bulgaria"	0	0	0	0	130	
"United Kingdom"	314	593	258	132	125	
"Uruguay"	0	111	0	209	121	
"Italy"	0	0	0	34	118	
"Finland"	0	0	0	1815	102	
"United States of America"	0	0	68	29	67	
"Bosnia and Herzegovina"	0	0	0	0	63	
"France"	0	85	329	0	61	
"Egypt"	0	0	4	69	40	
"Ukraine"	0	0	12	75	18	
"Kuwait"	63	0	5	0	13	
"Lebanon"	0	0	47	23	6	
"Europe Othr. Nes"	0	0	504	0	0	
"Area Nes"	603	547	0	52	0	
"Australia"	859	455	0	0	0	
"Sri Lanka"	0	0	15	13	0	
"Croatia"	0	57	34	0	0	
"Greece"	0	0	4	0	0	
"Japan"	0	0	21	0	0	
"Taipei, Chinese"	0	0	5	3	0	
"Slovakia"	0	30	125	0	0	
"Viet Nam"	0	0	0	213	0	
"Sweden"	315	273	0	0	0	
