Exporters	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	
"World"	806	791	928	985	1036	
"Kuwait"	265	331	803	759	611	
"India"	476	398	43	89	175	
"Saudi Arabia"	5	0	0	87	132	
"China"	45	55	78	21	98	
"United Kingdom"	13	0	2	4	13	
"United States of America"	0	0	0	1	3	
"Ireland"	0	2	2	0	2	
"France"	1	1	0	1	0	
"Germany"	1	1	0	0	0	
"Italy"	0	1	0	0	0	
"Japan"	0	0	0	19	0	
"Jordan"	0	0	0	3	0	
"Qatar"	0	1	0	0	0	
