Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	1869	1648	1390	1493	1415	
"Europe Othr. Nes"	0	0	152	0	430	
"United Kingdom"	331	497	305	282	360	
"Greece"	233	219	279	252	192	
"United States of America"	554	417	222	172	150	
"Italy"	0	0	19	51	110	
"Germany"	65	90	79	65	49	
"Syrian Arab Republic"	0	0	0	0	32	
"Spain"	0	40	3	0	22	
"Turkey"	0	0	7	53	20	
"Netherlands"	0	0	0	0	15	
"Jordan"	0	0	6	0	13	
"France"	0	0	31	114	12	
"South Africa"	55	0	19	0	6	
"New Zealand"	0	0	0	0	4	
"Ukraine"	0	0	0	3	0	
"Area Nes"	603	384	0	499	0	
"Australia"	0	0	12	3	0	
"Denmark"	0	0	162	0	0	
"Ireland"	0	0	25	0	0	
"Kuwait"	0	0	15	0	0	
"Norway"	0	0	22	0	0	
"Pakistan"	0	0	3	0	0	
"Poland"	0	0	30	0	0	
"Qatar"	28	0	0	0	0	
