Importers	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"World"	124378	208126	190334	188062	108693	
"United Arab Emirates"	18944	70548	63523	63727	37147	
"Kuwait"	13150	59445	60352	57644	28687	
"Oman"	3538	45064	47193	46434	23610	
"Bahrain"	12920	13142	15094	15456	14279	
"Jordan"	3145	3378	3005	3465	4601	
"Yemen"	0	0	118	346	88	
"Libya, State of"	0	58	75	74	87	
"Iraq"	0	0	5	0	74	
"Lebanon"	783	1439	905	822	53	
"Thailand"	0	0	0	94	34	
"Egypt"	0	0	0	0	29	
"Area Nes"	55	35	0	0	4	
"Palestine, State of"	0	423	64	0	0	
"Qatar"	71842	14593	0	0	0	
