Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	2529	2401	3064	2775	2724	
"Kuwait"	1667	1743	1458	1674	2147	
"China"	740	658	1607	1088	287	
"United Kingdom"	0	0	0	13	223	
"Malaysia"	0	0	0	0	19	
"Korea, Republic of"	0	0	0	0	18	
"Ireland"	0	0	0	0	17	
"United States of America"	69	0	0	0	15	
"Area Nes"	3	0	0	0	0	
"Japan"	50	0	0	0	0	
