Exporters	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	142	125	154	276	95	
"Jordan"	0	0	139	134	57	
"India"	0	0	0	22	37	
"Area Nes"	42	46	0	0	0	
"China"	0	0	11	35	0	
"Kuwait"	99	0	0	0	0	
"Russian Federation"	0	52	0	0	0	
"Spain"	0	0	4	0	0	
"Egypt"	0	27	0	76	0	
"United States of America"	0	0	0	9	0	
